"Len","P31","P50","P356","P1476","P1433","P577"
"Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to","Q13442814","Rehan Sadiq","10.2166/aqua.2006.074","Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Modelling the potential for water quality failures in distribution networks: framework (I)","Q13442814","Rehan Sadiq","10.2166/aqua.2010.059","Modelling the potential for water quality failures in distribution networks: framework (I)","Journal of Water Supply: Research and Technology-Aqua","2013-04-16"
"Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Q13442814","Rehan Sadiq","10.1007/s10661-015-4969-5","Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Environmental Monitoring and Assessment","2015-11-12"
"Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Q13442814","Rehan Sadiq","10.1016/j.eswa.2014.11.014","Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Expert Systems with Applications","2014-12-01"
"Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2021.107260","Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Computers & Chemical Engineering","2021-02-16"
"Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.09.178","Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Journal of Cleaner Production","2017-09-18"
"Multicriteria information fusion using a fuzzy evidential rule-based framework","Q13442814","Rehan Sadiq","10.1109/icsmc.2012.6378014","Multicriteria information fusion using a fuzzy evidential rule-based framework","2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","2012-12-18"
"Multilevel performance management framework for small to medium sized water utilities in Canada","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0227","Multilevel performance management framework for small to medium sized water utilities in Canada","Canadian Journal of Civil Engineering","2015-08-17"
"Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2007.10.002","Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Process Safety and Environmental Protection","2009-09-24"
"Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Q13442814","Rehan Sadiq","10.1016/j.wasman.2014.09.010","Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Waste Management","2014-10-07"
"Networked fuzzy belief rule-based system for spatiotemporal monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608519","Networked fuzzy belief rule-based system for spatiotemporal monitoring","2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS)","2013-10-01"
"Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","Q13442814","Rehan Sadiq","10.4043/25072-ms","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","All Days","2015-02-25"
"Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122430","Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Journal of Cleaner Production","2020-06-16"
"Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","Q13442814","Rehan Sadiq","10.2118/161446-ms","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","All Days","2012-11-11"
"On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Q13442814","Rehan Sadiq","10.1007/s10230-014-0322-4","On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Mine Water and the Environment","2014-12-13"
"Online drinking water quality monitoring: review on available and emerging technologies","Q13442814","Rehan Sadiq","10.1080/10643389.2013.781936","Online drinking water quality monitoring: review on available and emerging technologies","Critical Reviews in Environmental Science and Technology","2013-09-06"
"Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","Q13442814","Rehan Sadiq","10.1007/s13198-012-0133-6","Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","International Journal of System Assurance Engineering and Management","2012-10-30"
"Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Q13442814","Rehan Sadiq","10.1016/j.rser.2017.07.021","Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Renewable and Sustainable Energy Reviews","2017-07-11"
"Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.07.030","Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Energy and Buildings","2019-07-17"
"Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Q13442814","Rehan Sadiq","10.1007/s12517-016-2552-1","Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Arabian Journal of Geosciences","2016-07-07"
"Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.124950","Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Journal of Cleaner Production","2020-11-05"
"Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Q13442814","Rehan Sadiq","10.1016/j.knosys.2020.106676","Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Knowledge-Based Systems","2020-12-18"
"Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000759","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Journal of Water Resources Planning and Management","2017-03-17"
"Optimizing booster chlorination in water distribution networks: a water quality index approach","Q13442814","Rehan Sadiq","10.1007/s10661-013-3153-z","Optimizing booster chlorination in water distribution networks: a water quality index approach","Environmental Monitoring and Assessment","2013-03-26"
"Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Q13442814","Rehan Sadiq","10.1007/s10098-018-1506-6","Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Clean Technologies and Environmental Policy","2018-02-19"
"Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Q13442814","Rehan Sadiq","10.1016/j.cie.2015.06.021","Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Computers & Industrial Engineering","2015-07-05"
"Path toward net-zero buildings: a natural capital assessment framework","Q13442814","Rehan Sadiq","10.1007/s10098-017-1469-z","Path toward net-zero buildings: a natural capital assessment framework","Clean Technologies and Environmental Policy","2017-11-27"
"Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0001297","Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Journal of Water Resources Planning and Management","2020-09-25"
"Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","Q13442814","Rehan Sadiq","10.3390/environments6020019","Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","Environments","2019-02-12"
"Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","Q13442814","Rehan Sadiq","10.1016/j.spc.2020.12.020","Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","Sustainable Production and Consumption","2020-12-17"
"Performance evaluation of employees using Bayesian belief network model","Q13442814","Rehan Sadiq","10.1080/17509653.2017.1312583","Performance evaluation of employees using Bayesian belief network model","International Journal of Management Science and Engineering Management","2017-05-12"
"Performance evaluation of slow sand filters: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00165-8","Performance evaluation of slow sand filters: a probabilistic approach","Environmental Modelling & Software","2003-10-28"
"Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2020.141619","Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","Science of The Total Environment","2020-08-15"
"Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","Q13442814","Rehan Sadiq","10.1007/s12517-019-4645-0","Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","Arabian Journal of Geosciences","2019-08-01"
"Performance indicators for small- and medium-sized water supply systems: a review","Q13442814","Rehan Sadiq","10.1139/er-2013-0013","Performance indicators for small- and medium-sized water supply systems: a review","Environmental Reviews","2013-07-24"
"Performance management of small water treatment plant operations: a decision support system","Q13442814","Rehan Sadiq","10.1111/wej.12248","Performance management of small water treatment plant operations: a decision support system","Water and Environment Journal","2017-04-04"
"Performance of low-impact development best management practices: a critical review","Q13442814","Rehan Sadiq","10.1139/er-2018-0048","Performance of low-impact development best management practices: a critical review","Environmental Reviews","2018-09-11"
"Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.118402","Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","Journal of Cleaner Production","2019-09-15"
"Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","Q13442814","Rehan Sadiq","10.1007/s10098-019-01757-2","Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","Clean Technologies and Environmental Policy","2019-09-22"
"Possibilistic approach for consideration of uncertainties to estimate structural capacity of ageing cast iron water mains","Q13442814","Rehan Sadiq","10.1139/l06-042","Possibilistic approach for consideration of uncertainties to estimate structural capacity of ageing cast iron water mains","Canadian Journal of Civil Engineering","2006-10-24"
"Preamble","Q13442814","Rehan Sadiq","10.1093/law/9780198703969.003.0002","Preamble","Diplomatic Law","2017-06-12"
"Predicting copper concentrations in acid mine drainage: a comparative analysis of five machine learning techniques","Q13442814","Rehan Sadiq","10.1007/s10661-012-2859-7","Predicting copper concentrations in acid mine drainage: a comparative analysis of five machine learning techniques","Environmental Monitoring and Assessment","2012-09-15"
"Predicting risk of water quality failures in distribution networks under uncertainties using fault-tree analysis","Q13442814","Rehan Sadiq","10.1080/15730620802213504","Predicting risk of water quality failures in distribution networks under uncertainties using fault-tree analysis","Urban Water Journal","2008-11-19"
"Predicting the potential of contaminant intrusion in water distribution systems","Q13442814","Rehan Sadiq","10.5942/jawwa.2014.106.0019","Predicting the potential of contaminant intrusion in water distribution systems","Journal - American Water Works Association","2013-12-05"
"Predicting unregulated disinfection by-products in small water distribution networks: an empirical modelling framework","Q13442814","Rehan Sadiq","10.1007/s10661-020-08468-y","Predicting unregulated disinfection by-products in small water distribution networks: an empirical modelling framework","Environmental Monitoring and Assessment","2020-07-09"
"Predicting water main failures using Bayesian model averaging and survival modelling approach","Q13442814","Rehan Sadiq","10.1016/j.ress.2015.06.011","Predicting water main failures using Bayesian model averaging and survival modelling approach","Reliability Engineering & System Safety","2015-06-25"
"Predicting water main failures: a Bayesian model updating approach","Q13442814","Rehan Sadiq","10.1016/j.knosys.2016.07.024","Predicting water main failures: a Bayesian model updating approach","Knowledge-Based Systems","2016-07-22"
"Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000920","Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model","ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering","2017-07-07"
"Prioritization of environmental issues in offshore oil and gas operations: A hybrid approach using fuzzy inference system and fuzzy analytic hierarchy process","Q13442814","Rehan Sadiq","10.1016/j.psep.2010.08.006","Prioritization of environmental issues in offshore oil and gas operations: A hybrid approach using fuzzy inference system and fuzzy analytic hierarchy process","Process Safety and Environmental Protection","2010-09-01"
"Prioritization of unregulated disinfection by-products in drinking water distribution systems for human health risk mitigation: A critical review","Q13442814","Rehan Sadiq","10.1016/j.watres.2018.09.054","Prioritization of unregulated disinfection by-products in drinking water distribution systems for human health risk mitigation: A critical review","Water Research","2018-09-29"
"Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000324","Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk","Journal of Pipeline Systems Engineering and Practice","2018-05-18"
"Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach","Q13442814","Rehan Sadiq","10.2166/aqua.2009.011","Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach","Journal of Water Supply: Research and Technology-Aqua","2009-11-02"
"Probabilistic risk analysis of corrosion associated failures in cast iron water mains","Q13442814","Rehan Sadiq","10.1016/j.ress.2003.12.007","Probabilistic risk analysis of corrosion associated failures in cast iron water mains","Reliability Engineering & System Safety","2004-02-11"
"Probabilistic risk analysis using ordered weighted averaging (OWA) operators","Q13442814","Rehan Sadiq","10.1007/s00477-006-0090-1","Probabilistic risk analysis using ordered weighted averaging (OWA) operators","Stochastic Environmental Research and Risk Assessment","2006-11-22"
"Probability density functions based weights for ordered weighted averaging (OWA) operators: An example of water quality indices","Q13442814","Rehan Sadiq","10.1016/j.ejor.2006.09.041","Probability density functions based weights for ordered weighted averaging (OWA) operators: An example of water quality indices","European Journal of Operational Research","2006-12-06"
"Probability of network disconnection of water distribution system for maintenance prioritization","Q13442814","Rehan Sadiq","10.2166/aqua.2018.097","Probability of network disconnection of water distribution system for maintenance prioritization","Journal of Water Supply: Research and Technology-Aqua","2018-03-08"
"Process Safety and Environmental Protection","Q13442814","Rehan Sadiq","10.1016/s0957-5820(07)00032-8","Process Safety and Environmental Protection","Process Safety and Environmental Protection","2008-12-16"
"Project deployment strategies for community renewable energy: A dynamic multi-period planning approach","Q13442814","Rehan Sadiq","10.1016/j.renene.2020.01.045","Project deployment strategies for community renewable energy: A dynamic multi-period planning approach","Renewable Energy","2020-01-17"
"Prospects of integrating carbon capturing into community scale energy systems","Q13442814","Rehan Sadiq","10.1016/j.rser.2020.110193","Prospects of integrating carbon capturing into community scale energy systems","Renewable and Sustainable Energy Reviews","2020-08-26"
"Quality Function Deployment (QFD) for Bridge Maintenance","Q13442814","Rehan Sadiq","10.1007/springerreference_7120","Quality Function Deployment (QFD) for Bridge Maintenance","SpringerReference","2011-08-01"
"RM-DEMATEL: a new methodology to identify the key factors in PM 2.5","Q13442814","Rehan Sadiq","10.1007/s11356-015-4229-9","RM-DEMATEL: a new methodology to identify the key factors in PM 2.5","Environmental Science and Pollution Research","2015-03-01"
"Ranking discrete fuzzy linguistic performance based on TODIM method","Q13442814","Rehan Sadiq","10.1007/s13198-014-0317-3","Ranking discrete fuzzy linguistic performance based on TODIM method","International Journal of System Assurance Engineering and Management","2014-12-08"
"Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach","Q13442814","Rehan Sadiq","10.2166/aqua.2011.108","Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach","Journal of Water Supply: Research and Technology-Aqua","2011-09-05"
"Redefining green buildings: BIM-based framework for zero impact civil infrastructure","Q13442814","Rehan Sadiq","10.1061/9780784482858.013","Redefining green buildings: BIM-based framework for zero impact civil infrastructure","Construction Research Congress 2020","2020-11-09"
"Reliability Assessment for Water Supply Systems under Uncertainties","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000349","Reliability Assessment for Water Supply Systems under Uncertainties","Journal of Water Resources Planning and Management","2013-01-18"
"Removal of urea from swimming pool water by UV/VUV: The roles of additives, mechanisms, influencing factors, and reaction products","Q13442814","Rehan Sadiq","10.1016/j.watres.2019.05.098","Removal of urea from swimming pool water by UV/VUV: The roles of additives, mechanisms, influencing factors, and reaction products","Water Research","2019-06-01"
"Renewable energy based mine reclamation strategy: A hybrid fuzzy-based network analysis","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.05.073","Renewable energy based mine reclamation strategy: A hybrid fuzzy-based network analysis","Journal of Cleaner Production","2019-05-08"
"Renewable energy selection for net-zero energy communities: Life cycle based decision making under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.renene.2018.06.086","Renewable energy selection for net-zero energy communities: Life cycle based decision making under uncertainty","Renewable Energy","2018-06-26"
"Rethinking investment planning and optimizing net zero emission buildings","Q13442814","Rehan Sadiq","10.1007/s10098-017-1359-4","Rethinking investment planning and optimizing net zero emission buildings","Clean Technologies and Environmental Policy","2017-04-29"
"Reviewing source water protection strategies: A conceptual model for water quality assessment","Q13442814","Rehan Sadiq","10.1139/a11-001","Reviewing source water protection strategies: A conceptual model for water quality assessment","Environmental Reviews","2011-04-24"
"Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis","Q13442814","Rehan Sadiq","10.1016/j.jlp.2011.12.007","Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis","Journal of Loss Prevention in the Process Industries","2011-12-20"
"Risk analysis for water quality deterioration in distribution networks","Q13442814","Rehan Sadiq","10.1061/40507(282)15","Risk analysis for water quality deterioration in distribution networks","Environmental and Pipeline Engineering 2000","2008-11-04"
"Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach","Q13442814","Rehan Sadiq","10.1016/j.eswa.2011.06.018","Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach","Expert Systems with Applications","2011-07-05"
"Risk and life cycle cost based asset management framework for aging water supply system","Q13442814","Rehan Sadiq","10.4324/9781315142074-16","Risk and life cycle cost based asset management framework for aging water supply system","Routledge Handbook of Sustainable and Resilient Infrastructure","2019-02-07"
"Risk management of large-diameter water transmission mains","Q13442814","Rehan Sadiq","10.1061/40800(180)20","Risk management of large-diameter water transmission mains","Pipelines 2005","2005-12-21"
"Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","Q13442814","Rehan Sadiq","10.1061/(asce)me.1943-5479.0000435","Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","Journal of Management in Engineering","2016-03-28"
"Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1016/j.oceaneng.2004.05.001","Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique","Ocean Engineering","2004-08-31"
"Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-006-0042-9","Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)","Stochastic Environmental Research and Risk Assessment","2006-03-17"
"Risk-based framework for optimizing residual chlorine in large water distribution systems","Q13442814","Rehan Sadiq","10.1007/s10661-017-5989-0","Risk-based framework for optimizing residual chlorine in large water distribution systems","Environmental Monitoring and Assessment","2017-06-01"
"Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1007/s10661-005-3852-1","Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique","Environmental Monitoring and Assessment","2005-05-03"
"Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2015.051","Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Risk-based process safety assessment and control measures design for offshore process facilities","Q13442814","Rehan Sadiq","10.1016/s0304-3894(02)00004-3","Risk-based process safety assessment and control measures design for offshore process facilities","Journal of Hazardous Materials","2002-10-14"
"Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)","Q13442814","Rehan Sadiq","10.1617/s11527-015-0626-2","Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)","Materials and Structures","2015-05-08"
"Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.07.014","Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach","Journal of Cleaner Production","2018-07-05"
"Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.11.069","Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions","Science of The Total Environment","2014-12-03"
"Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method","Q13442814","Rehan Sadiq","10.12989/eas.2012.3.5.695","Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method","Earthquakes and Structures","2013-07-09"
"Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE","Q13442814","Rehan Sadiq","10.2175/106143016x14798353399494","Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE","Water Environment Research","2017-02-26"
"Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method","Q13442814","Rehan Sadiq","10.1080/1573062x.2014.900089","Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method","Urban Water Journal","2014-04-14"
"Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2015.12.041","Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making","Journal of Cleaner Production","2015-12-23"
"Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework","Q13442814","Rehan Sadiq","10.1016/j.marpolbul.2020.111705","Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework","Marine Pollution Bulletin","2020-10-04"
"Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.01.024","Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach","Journal of Environmental Management","2013-02-26"
"Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2018.09.359","Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory","Science of The Total Environment","2018-10-01"
"Sewerage infrastructure: Fuzzy techniques to manage failures","Q13442814","Rehan Sadiq","10.1007/978-1-4020-6027-4_24","Sewerage infrastructure: Fuzzy techniques to manage failures","Wastewater Reuse–Risk Assessment, Decision-Making and Environmental Security","2007-05-23"
"Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","Q13442814","Rehan Sadiq","10.1115/icnmm2012-73216","Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","ASME 2012 10th International Conference on Nanochannels, Microchannels, and Minichannels","2013-07-22"
"Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks","Q13442814","Rehan Sadiq","10.1061/40976(316)499","Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks","World Environmental and Water Resources Congress 2008","2008-12-11"
"Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework","Q13442814","Rehan Sadiq","10.1007/s10661-017-6176-z","Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework","Environmental Monitoring and Assessment","2017-08-23"
"Smart city and resilient city: Differences and connections","Q13442814","Rehan Sadiq","10.1002/widm.1388","Smart city and resilient city: Differences and connections","WIREs Data Mining and Knowledge Discovery","2020-09-02"
"Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Q13442814","Rehan Sadiq","10.1007/s10098-015-0959-0","Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Clean Technologies and Environmental Policy","2015-04-27"
"Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2010.10.056","Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Journal of Environmental Management","2010-11-20"
"Stable strategies analysis based on the utility of Z-number in the evolutionary games","Q13442814","Rehan Sadiq","10.1016/j.amc.2017.12.006","Stable strategies analysis based on the utility of Z-number in the evolutionary games","Applied Mathematics and Computation","2017-12-27"
"State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2019.01.074","State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Journal of Environmental Management","2019-01-30"
"Subsea release of oil from a riser: An ecological risk assessment","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2008.01136.x","Subsea release of oil from a riser: An ecological risk assessment","Risk Analysis","2008-09-20"
"Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Q13442814","Rehan Sadiq","10.1007/s10098-016-1168-1","Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Clean Technologies and Environmental Policy","2016-03-29"
"Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.09.031","Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Sustainable Cities and Society","2017-10-13"
"Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Q13442814","Rehan Sadiq","10.1016/j.conbuildmat.2010.11.041","Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Construction and Building Materials","2010-12-23"
"Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2016.06.002","Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","International Journal of Sustainable Built Environment","2016-07-02"
"Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1007/s10098-016-1198-8","Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Clean Technologies and Environmental Policy","2016-05-10"
"Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Q13442814","Rehan Sadiq","10.1007/s11269-015-0982-2","Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Water Resources Management","2015-04-06"
"Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","Q13442814","Rehan Sadiq","10.1080/2093761x.2014.923794","Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","International Journal of Sustainable Building Technology and Urban Development","2014-08-13"
"Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Q13442814","Rehan Sadiq","10.1139/er-2020-0090","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Environmental Reviews","2021-03-15"
"Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1016/j.coldregions.2016.07.004","Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Cold Regions Science and Technology","2016-07-23"
"The impacts of decision uncertainty on municipal solid waste management","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2017.03.079","The impacts of decision uncertainty on municipal solid waste management","Journal of Environmental Management","2017-05-03"
"The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_13","The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","Dynamics of Energy, Environment and Economy","2020-07-02"
"To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.110393","To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","Energy and Buildings","2020-08-12"
"Topological vulnerability evaluation model based on fractal dimension of complex networks","Q13442814","Rehan Sadiq","10.1371/journal.pone.0146896","Topological vulnerability evaluation model based on fractal dimension of complex networks","PLOS ONE","2016-01-11"
