"Len","P31","P50","P356","P1476","P1433","P577"
"Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Q13442814","Q56794616","10.1093/beheco/ars171","Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Behavioral Ecology","2012-11-02"
"Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Q13442814","Mark Johnson","10.1111/j.1365-2486.2010.02298.x","Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Global Change Biology","2010-07-23"
"Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Q13442814","Q56794616","10.1016/j.limno.2019.125714","Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Limnologica","2019-09-16"
"Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia","Q13442814","Marwan Hassan","10.1002/hyp.9989","Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia","Hydrological Processes","2013-07-24"
"Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Q13442814","Q56794616","10.1016/j.ecolmodel.2004.08.022","Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Ecological Modelling","2004-12-15"
"Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada","Q13442814","Marwan Hassan","10.1002/hyp.13321","Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada","Hydrological Processes","2018-11-01"
"Modelling the potential for water quality failures in distribution networks: framework (I)","Q13442814","Rehan Sadiq","10.2166/aqua.2010.059","Modelling the potential for water quality failures in distribution networks: framework (I)","Journal of Water Supply: Research and Technology-Aqua","2013-04-16"
"Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Q13442814","Rehan Sadiq","10.1007/s10661-015-4969-5","Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Environmental Monitoring and Assessment","2015-11-12"
"Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Q13442814","Q56794616","10.1007/s00027-017-0543-2","Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Aquatic Sciences","2017-05-13"
"Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.geoforum.2008.03.002","Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Geoforum","2008-05-10"
"Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Q13442814","Mark Johnson","10.1590/s0100-06832013000300009","Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Revista Brasileira de Ciência do Solo","2013-07-21"
"Monitoring the dynamics of syntrophic β-oxidizing bacteria during anaerobic degradation of oleic acid by quantitative PCR","Q13442814","Q88314953","10.1093/femsec/fiv028","Monitoring the dynamics of syntrophic β-oxidizing bacteria during anaerobic degradation of oleic acid by quantitative PCR","FEMS Microbiology Ecology","2015-03-21"
"Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments","Q13442814","Marwan Hassan","10.1029/2017jf004533","Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments","Journal of Geophysical Research: Earth Surface","2018-09-28"
"Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history","Q13442814","Marwan Hassan","10.1016/j.geomorph.2020.107043","Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history","Geomorphology","2020-01-15"
"Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Q13442814","Valentina Radić","10.1029/2008gl037020","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Geophysical Research Letters","2009-04-01"
"Movement behaviour of adult western toads in a fragmented, forest landscape","Q13442814","Q56794616","10.1139/z09-109","Movement behaviour of adult western toads in a fragmented, forest landscape","Canadian Journal of Zoology","2009-12-21"
"Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Q13442814","Q56794616","10.1139/x05-042","Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Canadian Journal of Forest Research","2005-06-20"
"Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Q13442814","Rehan Sadiq","10.1016/j.eswa.2014.11.014","Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Expert Systems with Applications","2014-12-01"
"Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2021.107260","Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Computers & Chemical Engineering","2021-02-16"
"Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.09.178","Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Journal of Cleaner Production","2017-09-18"
"Multicriteria information fusion using a fuzzy evidential rule-based framework","Q13442814","Rehan Sadiq","10.1109/icsmc.2012.6378014","Multicriteria information fusion using a fuzzy evidential rule-based framework","2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","2012-12-18"
"Multilevel performance management framework for small to medium sized water utilities in Canada","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0227","Multilevel performance management framework for small to medium sized water utilities in Canada","Canadian Journal of Civil Engineering","2015-08-17"
"Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2007.10.002","Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Process Safety and Environmental Protection","2009-09-24"
"Multiple model predictive control on a drainage canal system","Q13442814","Steven Weijs","10.1016/j.conengprac.2007.06.002","Multiple model predictive control on a drainage canal system","Control Engineering Practice","2007-08-28"
"Multiple ontologies of water: Politics, conflict and implications for governance","Q13442814","Leila M. Harris","10.1177/0263775817700395","Multiple ontologies of water: Politics, conflict and implications for governance","Environment and Planning D: Society and Space","2017-03-28"
"Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Q13442814","Rehan Sadiq","10.1016/j.wasman.2014.09.010","Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Waste Management","2014-10-07"
"Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Q13442814","Pierre Bérubé","10.3390/membranes7030034","Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Membranes","2017-07-03"
"Nanofluidic transport governed by the liquid/vapour interface","Q13442814","Jongho Lee","10.1038/nnano.2014.28","Nanofluidic transport governed by the liquid/vapour interface","Nature Nanotechnology","2014-03-14"
"Nanostructured materials for water desalination","Q13442814","Jongho Lee","10.1201/9781315279657-15","Nanostructured materials for water desalination","Photochemical Water Splitting","2020-07-10"
"Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Q13442814","Q56794616","10.1899/11-030.1","Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Freshwater Science","2012-01-24"
"Naturally produced adsorbable organic halogens (AOX) in humic substances from soil and water","Q13442814","Gunilla Öberg","10.1016/0048-9697(89)90130-7","Naturally produced adsorbable organic halogens (AOX) in humic substances from soil and water","Science of The Total Environment","2003-09-12"
"Navigating Uncertain","Q13442814","Leila M. Harris","10.1038/nn.3174","Navigating Uncertain","Nature Neuroscience","2012-07-26"
"Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge","Q13442814","Gunilla Öberg","10.1080/09500693.2018.1548044","Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge","International Journal of Science Education","2018-11-20"
"Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Q13442814","Leila M. Harris","10.1016/j.geoforum.2016.04.005","Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Geoforum","2016-05-12"
"Negotiated resilience","Q13442814","Leila M. Harris","10.1080/21693293.2017.1353196","Negotiated resilience","Resilience","2017-07-21"
"Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Q13442814","Leila M. Harris","10.1016/j.polgeo.2010.02.012","Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Political Geography","2010-03-26"
"Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Q13442814","Leila M. Harris","10.1080/13621025.2011.600095","Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Citizenship Studies","2011-10-26"
"Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Q13442814","Leila M. Harris","10.1057/9781137293688.0008","Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Global Economic Crisis and the Politics of Diversity","2013-12-20"
"Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations","Q13442814","Natalie Prystajecky","10.1093/nar/gkx702","Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations","Nucleic Acids Research","2017-08-01"
"Net change in organically bound halogens in relation to soil pH","Q13442814","Gunilla Öberg","10.1007/bf00171641","Net change in organically bound halogens in relation to soil pH","Water, Air, and Soil Pollution","2004-10-03"
"Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Q13442814","Mark Johnson","10.1029/2019jg005123","Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Journal of Geophysical Research: Biogeosciences","2019-03-19"
"Networked fuzzy belief rule-based system for spatiotemporal monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608519","Networked fuzzy belief rule-based system for spatiotemporal monitoring","2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS)","2013-10-01"
"Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products","Q13442814","Nicolas Peleato","10.1016/j.watres.2018.02.052","Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products","Water Research","2018-02-21"
"New functional topographic, lithology and climatic indices to define shallow groundwater systems in (un) gauged basins","Q13442814","Q57582079","10.5194/egusphere-egu21-13070","New functional topographic, lithology and climatic indices to define shallow groundwater systems in (un) gauged basins","Copernicus GmbH","2021-03-04"
"New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v2","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Research Square","2020-01-30"
"New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v1","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Research Square","2019-12-09"
"New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","Q13442814","Q56794616","10.1371/journal.pone.0014333","New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","PLoS ONE","2010-12-15"
"Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Q13442814","Mark Johnson","10.1111/j.1365-2486.2009.02068.x","Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Global Change Biology","2009-09-15"
"Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Q13442814","Mark Johnson","10.1016/j.jenvman.2015.01.021","Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Journal of Environmental Management","2015-01-23"
"Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers","Q13442814","Gunilla Öberg","10.2136/sssaj2010.0415","Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers","Soil Science Society of America Journal","2011-09-15"
"Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Q13442814","Q56794616","10.1111/1365-2664.12099","Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Journal of Applied Ecology","2013-05-23"
"Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Q13442814","Madjid Mohseni","10.1111/php.12157","Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Photochemistry and Photobiology","2013-08-19"
"Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Q13442814","Madjid Mohseni","10.1089/ees.2006.0264","Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Environmental Engineering Science","2008-02-26"
"Novel composite photocatalyst made of TiO2 nanoparticles","Q13442814","Madjid Mohseni","10.2166/wst.2010.790","Novel composite photocatalyst made of TiO2 nanoparticles","Water Science and Technology","2010-02-25"
"Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","Q13442814","Rehan Sadiq","10.4043/25072-ms","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","All Days","2015-02-25"
"Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.05.056","Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Water Research","2019-05-20"
"Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Q13442814","Q56794616","10.1016/j.scitotenv.2019.06.301","Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Science of The Total Environment","2019-07-11"
"Objective Functions for Information-Content-Based Optimal Monitoring Network Design","Q13442814","Steven Weijs","10.5194/hess-2020-148","Objective Functions for Information-Content-Based Optimal Monitoring Network Design","Copernicus GmbH","2020-04-17"
"Observations of desert flood bores","Q13442814","Marwan Hassan","10.1002/esp.3290150512","Observations of desert flood bores","Earth Surface Processes and Landforms","2007-02-03"
"Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122430","Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Journal of Cleaner Production","2020-06-16"
"Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","Q13442814","Rehan Sadiq","10.2118/161446-ms","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","All Days","2012-11-11"
"Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.6b03882.s001","Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation","American Chemical Society (ACS)","2020-04-07"
"On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study","Q13442814","Marwan Hassan","10.5194/esurf-2020-30","On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study","Copernicus GmbH","2020-05-04"
"On how spatial variations of channel width influence","Q13442814","Marwan Hassan","10.1002/2016gl069824","On how spatial variations of channel width influence","Geophysical Research Letters","2016-06-14"
"On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Q13442814","Rehan Sadiq","10.1007/s10230-014-0322-4","On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Mine Water and the Environment","2014-12-13"
"On the limitation of evidence-based policy: Regulatory narratives and land application of biosolids/sewage sludge in BC, Canada and Sweden","Q13442814","Gunilla Öberg","10.1016/j.envsci.2018.03.006","On the limitation of evidence-based policy: Regulatory narratives and land application of biosolids/sewage sludge in BC, Canada and Sweden","Environmental Science & Policy","2018-03-20"
"On the role of review papers in the face of escalating publication rates-a case study of research on contaminants of emerging concern (CECs)","Q13442814","Gunilla Öberg","10.1016/j.envint.2019.104960","On the role of review papers in the face of escalating publication rates-a case study of research on contaminants of emerging concern (CECs)","Environment International","2019-07-09"
"Online drinking water quality monitoring: review on available and emerging technologies","Q13442814","Rehan Sadiq","10.1080/10643389.2013.781936","Online drinking water quality monitoring: review on available and emerging technologies","Critical Reviews in Environmental Science and Technology","2013-09-06"
"Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","Q13442814","Rehan Sadiq","10.1007/s13198-012-0133-6","Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","International Journal of System Assurance Engineering and Management","2012-10-30"
"Operation of passive membrane systems for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.watres.2017.02.065","Operation of passive membrane systems for drinking water treatment","Water Research","2017-02-28"
"Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Q13442814","Rehan Sadiq","10.1016/j.rser.2017.07.021","Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Renewable and Sustainable Energy Reviews","2017-07-11"
"Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Q13442814","Pierre Bérubé","10.2175/193864710798216792","Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Proceedings of the Water Environment Federation","2012-08-22"
"Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.07.030","Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Energy and Buildings","2019-07-17"
"Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2017.06.064","Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Separation and Purification Technology","2017-06-27"
"Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Q13442814","Rehan Sadiq","10.1007/s12517-016-2552-1","Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Arabian Journal of Geosciences","2016-07-07"
"Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.124950","Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Journal of Cleaner Production","2020-11-05"
"Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Q13442814","Rehan Sadiq","10.1016/j.knosys.2020.106676","Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Knowledge-Based Systems","2020-12-18"
"Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000759","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Journal of Water Resources Planning and Management","2017-03-17"
"Optimizing booster chlorination in water distribution networks: a water quality index approach","Q13442814","Rehan Sadiq","10.1007/s10661-013-3153-z","Optimizing booster chlorination in water distribution networks: a water quality index approach","Environmental Monitoring and Assessment","2013-03-26"
"Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Q13442814","Rehan Sadiq","10.1007/s10098-018-1506-6","Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Clean Technologies and Environmental Policy","2018-02-19"
"Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.5004/dwt.2012.2443","Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","DESALINATION AND WATER TREATMENT","2018-12-22"
"Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Q13442814","Rehan Sadiq","10.1016/j.cie.2015.06.021","Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Computers & Industrial Engineering","2015-07-05"
"Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content","Q13442814","Gunilla Öberg","10.1021/es203191r","Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content","Environmental Science & Technology","2011-12-22"
"Organic and inorganic chlorine in Swedish spruce forest soil: influence of nitrogen","Q13442814","Gunilla Öberg","10.1016/s0016-7061(00)00087-2","Organic and inorganic chlorine in Swedish spruce forest soil: influence of nitrogen","Geoderma","2002-07-25"
"Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon","Q13442814","Mark Johnson","10.1002/hyp.6218","Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon","Hydrological Processes","2006-07-24"
"Organic chlorine and chloride in submerged paddy soil: a case study in Anhui province, southeast China","Q13442814","Gunilla Öberg","10.1111/j.1475-2743.2004.tb00349.x","Organic chlorine and chloride in submerged paddy soil: a case study in Anhui province, southeast China","Soil Use and Management","2010-08-06"
"Organic chlorine in deciduous and coniferous forest soils in southern Sweden","Q13442814","Gunilla Öberg","10.1097/01.ss.0000070909.55992.91","Organic chlorine in deciduous and coniferous forest soils in southern Sweden","Soil Science","2011-04-10"
"Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting","Q13442814","Q56794616","10.1016/j.foreco.2010.08.016","Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting","Forest Ecology and Management","2010-09-25"
"Organically bound halogens in coniferous forest soil-Distribution pattern and evidence of in situ production","Q13442814","Gunilla Öberg","10.1016/0045-6535(95)00107-j","Organically bound halogens in coniferous forest soil-Distribution pattern and evidence of in situ production","Chemosphere","2002-07-26"
"Organically bound halogens in spruce forest throughfall","Q13442814","Gunilla Öberg","10.1016/s0045-6535(97)10057-1","Organically bound halogens in spruce forest throughfall","Chemosphere","2002-07-25"
"Organohalogens in nature","Q13442814","Gunilla Öberg","10.1021/es00020a001","Organohalogens in nature","Environmental Science & Technology","2005-03-17"
"Origin and occurrence of halogenated organic matter in soil","Q13442814","Gunilla Öberg","10.1007/978-94-011-0061-8_3","Origin and occurrence of halogenated organic matter in soil","Environment & Chemistry","2011-09-21"
"Oxidation of gas phase trichloroethylene and toluene using composite sol–gel TiO2 photocatalytic coatings","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2005.07.060","Oxidation of gas phase trichloroethylene and toluene using composite sol–gel TiO2 photocatalytic coatings","Journal of Hazardous Materials","2005-09-09"
"Ozone Application for Arsenic and Manganese Treatment at the City of White Rock, BC, Canada","Q13442814","Madjid Mohseni","10.1080/01919512.2019.1608811","Ozone Application for Arsenic and Manganese Treatment at the City of White Rock, BC, Canada","Ozone: Science & Engineering","2019-05-21"
"Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter","Q13442814","Madjid Mohseni","10.1080/01919510701817914","Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter","Ozone: Science & Engineering","2008-03-04"
"PFAS and DOM removal using an organic scavenger and PFAS-specific resin: Trade-off between regeneration and faster kinetics","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2020.142107","PFAS and DOM removal using an organic scavenger and PFAS-specific resin: Trade-off between regeneration and faster kinetics","Science of The Total Environment","2020-09-01"
"PFAS removal by ion exchange resins: A review","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2021.129777","PFAS removal by ion exchange resins: A review","Chemosphere","2021-02-04"
"PFAS removal by ion exchange resins: A review","Q13442814","Pierre Bérubé","10.1016/j.chemosphere.2021.129777","PFAS removal by ion exchange resins: A review","Chemosphere","2021-02-04"
"PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics","Q13442814","Madjid Mohseni","10.1039/c9ew00409b","PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics","Environmental Science: Water Research & Technology","2019-09-02"
"PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education","Q13442814","Mark Johnson","10.1525/bio.2009.59.6.10","PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education","BioScience","2009-06-02"
"Pacific coast rivers of Canada and Alaska","Q13442814","Q56794616","10.1016/b978-012088253-3/50019-5","Pacific coast rivers of Canada and Alaska","Rivers of North America","2007-05-16"
"Palestinian water I: Resources, allocation and perception","Q13442814","Marwan Hassan","10.1111/j.1749-8198.2009.00293.x","Palestinian water I: Resources, allocation and perception","Geography Compass","2010-02-03"
"Palestinian water II: climate change and land use","Q13442814","Marwan Hassan","10.1111/j.1749-8198.2009.00294.x","Palestinian water II: climate change and land use","Geography Compass","2010-02-03"
"Palestinian water: resources, use, conservation, climate change, and land use","Q13442814","Marwan Hassan","10.1111/j.1949-3606.2012.00175.x","Palestinian water: resources, use, conservation, climate change, and land use","Digest of Middle East Studies","2012-11-01"
"Parameter estimation and characterization of a single-chamber microbial fuel cell for dairy wastewater treatment","Q13442814","Madjid Mohseni","10.1016/j.biortech.2013.07.054","Parameter estimation and characterization of a single-chamber microbial fuel cell for dairy wastewater treatment","Bioresource Technology","2013-07-20"
"Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","Q13442814","Leila M. Harris","10.5751/es-06623-190336","Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","Ecology and Society","2014-09-10"
"Particle Tracing in Geomorphology Posters","Q13442814","Marwan Hassan","10.1002/9781118648551.ch14","Particle Tracing in Geomorphology Posters","Tools in Fluvial Geomorphology","2016-04-23"
"Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Q13442814","Valentina Radić","10.1029/2019ef001470","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Earth's Future","2020-04-25"
"Passive air breathing flat-plate microbial fuel cell operation","Q13442814","Madjid Mohseni","10.1002/jctb.4325","Passive air breathing flat-plate microbial fuel cell operation","Journal of Chemical Technology & Biotechnology","2014-01-11"
"Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0161-0307","Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream","Archiv für Hydrobiologie","2004-11-08"
"Path toward net-zero buildings: a natural capital assessment framework","Q13442814","Rehan Sadiq","10.1007/s10098-017-1469-z","Path toward net-zero buildings: a natural capital assessment framework","Clean Technologies and Environmental Policy","2017-11-27"
"Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364451","Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","Society & Natural Resources","2017-10-16"
"Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera","Q13442814","Q56794616","10.1007/978-94-009-4043-7_39","Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera","Proceedings of the Fifth International Symposium on Trichoptera","2011-10-18"
"Patterns, puzzles and people: implementing hydrologic synthesis","Q13442814","Marwan Hassan","10.1002/hyp.8234","Patterns, puzzles and people: implementing hydrologic synthesis","Hydrological Processes","2011-07-28"
"Percent Change as a Measure of Price Escalation in Water and Energy Utilities","Q13442814","Jordi Honey-Rosés","10.1177/1087724x18822587","Percent Change as a Measure of Price Escalation in Water and Energy Utilities","Public Works Management & Policy","2019-01-14"
