"Len","P31","P50","P356","P1476"
"Leaf-litter leachate and light interactively enhance accrual of stream biofilms","Q13442814","Q56794616","10.1127/1863-9135/2014/0602","Leaf-litter leachate and light interactively enhance accrual of stream biofilms"
"Leakage detection and location in water distribution systems using a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.1080/1573062x.2011.617829","Leakage detection and location in water distribution systems using a fuzzy-based methodology"
"Learning in focus groups","Q13442814","Gunilla Öberg","10.1177/1468794107076023","Learning in focus groups"
"Leveraging support for conservation from ecotourists: can relational values play a role?","Q13442814","Jordi Honey-Rosés","10.1080/09669582.2019.1683184","Leveraging support for conservation from ecotourists: can relational values play a role?"
"Lidar observations of ice crystals associated with noctilucent clouds at middle latitudes","Q13442814","Marwan Hassan","10.1029/93gl03291","Lidar observations of ice crystals associated with noctilucent clouds at middle latitudes"
"Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed","Q13442814","Mark Johnson","10.35648/20.500.12413/11781/ii250","Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed"
"Life Cycle Thinking–Based Selection of Building Facades","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000333","Life Cycle Thinking–Based Selection of Building Facades"
"Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.123865","Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment"
"Life cycle assessment of residential buildings: a case study in Canada","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.109940","Life cycle assessment of residential buildings: a case study in Canada"
"Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119498","Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China"
"Life cycle greenhouse gas footprint of shale gas: a probabilistic approach","Q13442814","Rehan Sadiq","10.1007/s00477-014-0874-7","Life cycle greenhouse gas footprint of shale gas: a probabilistic approach"
"Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making","Q13442814","Rehan Sadiq","10.1016/s0959-6526(02)00194-4","Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making"
"Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials","Q13442814","Rehan Sadiq","10.1007/s10098-014-0849-x","Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials"
"Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia","Q13442814","Q56794616","10.22621/cfn.v120i3.327","Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia"
"Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches","Q13442814","Leila M. Harris","10.1017/s0376892907004237","Limits of territorially-focused conservation: a critical assessment based on cartographic and geographic approaches"
"Limits to Productivity in Streams","Q13442814","Q56794616","10.1007/978-1-4613-3775-1_3","Limits to Productivity in Streams"
"Linking spatial patterns of bed surface texture, bed mobility, and channel hydraulics in a mountain stream to potential spawning substrate for small resident trout","Q13442814","Marwan Hassan","10.1016/j.geomorph.2013.04.041","Linking spatial patterns of bed surface texture, bed mobility, and channel hydraulics in a mountain stream to potential spawning substrate for small resident trout"
"Linking water and energy objectives in lowland areas through the application of model predictive control","Q13442814","Steven Weijs","10.1109/cca.2010.5611147","Linking water and energy objectives in lowland areas through the application of model predictive control"
"Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0159-0309","Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream"
"Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition","Q13442814","Q56794616","10.1016/j.foreco.2010.03.022","Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition"
"Litterfall production and fluvial export in headwater catchments of the southern Amazon","Q13442814","Mark Johnson","10.1017/s0266467406003956","Litterfall production and fluvial export in headwater catchments of the southern Amazon"
"Lived notions of citizenship and the human right to water in Site C, Khayelitsha, Cape Town, South Africa","Q13442814","Q58348879","10.4324/9781315469690-10","Lived notions of citizenship and the human right to water in Site C, Khayelitsha, Cape Town, South Africa"
"Long-Term Evaluation of Modified Activated Carbon Electrodes for Capacitive Deionization","Q13442814","Madjid Mohseni","10.1149/ma2018-01/20/1290","Long-Term Evaluation of Modified Activated Carbon Electrodes for Capacitive Deionization"
"Long-chain fatty acid feeding frequency in anaerobic codigestion impacts syntrophic community structure and biokinetics","Q13442814","Q88314953","10.1016/j.watres.2017.03.060","Long-chain fatty acid feeding frequency in anaerobic codigestion impacts syntrophic community structure and biokinetics"
"Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Q13442814","Madjid Mohseni","10.1016/j.watres.2018.07.057","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters"
"Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.07.057","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters"
"Long-term temporal structure analysis of sediment fluxes in the Upper Changjiang (Yangtze River) using a wavelet transformation","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-12666","Long-term temporal structure analysis of sediment fluxes in the Upper Changjiang (Yangtze River) using a wavelet transformation"
"Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.124570","Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment"
"MODELING THE EFFECT OF SEDIMENT SUPPLY ON CHANNEL WIDTH CHANGE ALONG ELWHA RIVER, WASHINGTON","Q13442814","Marwan Hassan","10.1130/abs/2017am-304959","MODELING THE EFFECT OF SEDIMENT SUPPLY ON CHANNEL WIDTH CHANGE ALONG ELWHA RIVER, WASHINGTON"
"Machine learning approaches to predict coagulant dosage in water treatment plants","Q13442814","Rehan Sadiq","10.1007/s13198-013-0166-5","Machine learning approaches to predict coagulant dosage in water treatment plants"
"Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river","Q13442814","Q56794616","10.1046/j.1365-2427.2000.00617.x","Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river"
"Mainstreaming Impact Evaluation in Nature Conservation","Q13442814","Jordi Honey-Rosés","10.1111/conl.12180","Mainstreaming Impact Evaluation in Nature Conservation"
"Maintenance of an obstruction-forced pool in a gravel-bed channel: streamflow, channel morphology, and sediment transport","Q13442814","Marwan Hassan","10.1016/s0928-2025(05)80016-1","Maintenance of an obstruction-forced pool in a gravel-bed channel: streamflow, channel morphology, and sediment transport"
"Management of Civil Infrastructure Systems: QFD-Based Approach","Q13442814","Rehan Sadiq","10.1061/(asce)is.1943-555x.0000150","Management of Civil Infrastructure Systems: QFD-Based Approach"
"Management of failure risk in large-diameter buried pipes using fuzzy-based techniques","Q13442814","Rehan Sadiq","10.2166/aqua.2006.075","Management of failure risk in large-diameter buried pipes using fuzzy-based techniques"
"Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests","Q13442814","Q56794616","10.1002/hyp.11281","Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests"
"Managing Drought Risk in the Okanagan: A Role for Dry-Year Option Contracts?","Q13442814","John Janmaat","10.3138/cpp.2017-003","Managing Drought Risk in the Okanagan: A Role for Dry-Year Option Contracts?"
"Managing water main breaks in distribution networks––A risk-based decision making","Q13442814","Rehan Sadiq","10.1016/j.ress.2019.106581","Managing water main breaks in distribution networks––A risk-based decision making"
"Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry","Q13442814","Rehan Sadiq","10.1016/j.jsr.2018.12.010","Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry"
"Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation","Q13442814","Mark Johnson","10.1016/j.geoderma.2020.114177","Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation"
"Marine water quality assessment of synthetic-based drilling waste discharges","Q13442814","Rehan Sadiq","10.1080/00207230304729","Marine water quality assessment of synthetic-based drilling waste discharges"
"Marking your Playground","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch7","Marking your Playground"
"Mattress","Q13442814","Rehan Sadiq","10.1163/1574-9347_bnp_e726670","Mattress"
"Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector","Q13442814","Pierre Bérubé","10.1016/s0021-9673(98)00882-6","Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector"
"Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada","Q13442814","Mark Johnson","10.1016/j.agrformet.2020.108152","Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada"
"Measuring function and structure of urban headwater streams with citizen scientists","Q13442814","Q56794616","10.1002/ecs2.2720","Measuring function and structure of urban headwater streams with citizen scientists"
"Mechanism of antibacterial activity of the white-rot fungus Hypholoma fasciculare colonizing wood","Q13442814","Gunilla Öberg","10.1139/w10-023","Mechanism of antibacterial activity of the white-rot fungus Hypholoma fasciculare colonizing wood"
"Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review","Q13442814","Pierre Bérubé","10.2175/106143005x72858","Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review"
"Mechanisms investigation on bacterial inactivation through combinations of UV wavelengths","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.114875","Mechanisms investigation on bacterial inactivation through combinations of UV wavelengths"
"Membrane ageing in full-scale water treatment plants","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.115212","Membrane ageing in full-scale water treatment plants"
"Membrane bioreactors for anaerobic treatment of wastewaters: phase II","Q13442814","Pierre Bérubé","10.2166/9781780403946","Membrane bioreactors for anaerobic treatment of wastewaters: phase II"
"Membrane bioreactors: Theory and applications to wastewater reuse","Q13442814","Pierre Bérubé","10.1016/s1871-2711(09)00209-8","Membrane bioreactors: Theory and applications to wastewater reuse"
"Membrane desalination performance governed by molecular reflection at the liquid-vapor interface","Q13442814","Jongho Lee","10.1016/j.ijheatmasstransfer.2019.06.044","Membrane desalination performance governed by molecular reflection at the liquid-vapor interface"
"Membrane fouling and reusability in membrane distillation of shale oil and gas produced water: Effects of membrane surface wettability","Q13442814","Jongho Lee","10.1016/j.memsci.2018.09.036","Membrane fouling and reusability in membrane distillation of shale oil and gas produced water: Effects of membrane surface wettability"
"Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process","Q13442814","Pierre Bérubé","10.1016/j.memsci.2007.03.019","Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process"
"Membranes based on electrospun lignin-zeolite composite nanofibers","Q13442814","Madjid Mohseni","10.1016/j.seppur.2017.06.015","Membranes based on electrospun lignin-zeolite composite nanofibers"
"Messung von Schubspannungen beim Aufstieg von Einzelblasen","Q13442814","Pierre Bérubé","10.1002/cite.201050247","Messung von Schubspannungen beim Aufstieg von Einzelblasen"
"Metal type and natural organic matter source for direct filtration electrocoagulation of drinking water","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2012.11.027","Metal type and natural organic matter source for direct filtration electrocoagulation of drinking water"
"Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies","Q13442814","Q56794616","10.1890/0012-9658(2007)88[140:mtlhap]2.0.co;2","Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies"
"Metrics and Methods for Comparing Water Utility Rate Structures","Q13442814","Jordi Honey-Rosés","10.1142/s2382624x18500182","Metrics and Methods for Comparing Water Utility Rate Structures"
"Microbial community adaptation influences long-chain fatty acid conversion during anaerobic codigestion of fats, oils, and grease with municipal sludge","Q13442814","Q88314953","10.1016/j.watres.2016.07.043","Microbial community adaptation influences long-chain fatty acid conversion during anaerobic codigestion of fats, oils, and grease with municipal sludge"
"Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2016.10.105","Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations"
"Microbial risk governance: challenges and opportunities in fresh water management in Canada","Q13442814","Leila M. Harris","10.1080/07011784.2015.1043648","Microbial risk governance: challenges and opportunities in fresh water management in Canada"
"Microbial utilization of dissolved organic carbon leached from riparian litterfall","Q13442814","Q56794616","10.1139/f02-135","Microbial utilization of dissolved organic carbon leached from riparian litterfall"
"Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …","Q13442814","Leila M. Harris","10.2166/wh.2014.126","Microbial water quality communication: public and practitioner insights from British Columbia, Canada Microbial water quality communication: public and practitioner insights …"
"Microcystin-LR removal by ion exchange: Investigating multicomponent interactions in natural waters","Q13442814","Madjid Mohseni","10.1016/j.envpol.2019.07.062","Microcystin-LR removal by ion exchange: Investigating multicomponent interactions in natural waters"
"Microorganisms inactivation by continuous and pulsed irradiation of ultraviolet light-emitting diodes (UV-LEDs)","Q13442814","Madjid Mohseni","10.1016/j.cej.2018.03.020","Microorganisms inactivation by continuous and pulsed irradiation of ultraviolet light-emitting diodes (UV-LEDs)"
"Microorganisms inactivation by wavelength combinations of ultraviolet light-emitting diodes (UV-LEDs)","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2019.02.041","Microorganisms inactivation by wavelength combinations of ultraviolet light-emitting diodes (UV-LEDs)"
"Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001269","Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process"
"Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization","Q13442814","Rehan Sadiq","10.1007/s00477-017-1440-x","Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization"
"Mining needs new business models","Q13442814","Nadja Kunz","10.1016/j.exis.2019.07.007","Mining needs new business models"
"Mobility of bed material in Harris Creek","Q13442814","Marwan Hassan","10.1029/2001wr000753","Mobility of bed material in Harris Creek"
"Model Description of the Reach Scale Channel Simulator","Q13442814","Marwan Hassan","10.2172/6297252","Model Description of the Reach Scale Channel Simulator"
"Model development to access the ageing of polymeric membranes due to chemical cleaning","Q13442814","Pierre Bérubé","10.1016/j.proeng.2012.08.605","Model development to access the ageing of polymeric membranes due to chemical cleaning"
"Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks","Q13442814","Rehan Sadiq","10.1016/j.watres.2010.08.002","Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks"
"Modeling and experimental evaluation of vacuum-UV photoreactors for water treatment","Q13442814","Madjid Mohseni","10.1016/j.ces.2010.12.020","Modeling and experimental evaluation of vacuum-UV photoreactors for water treatment"
"Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations","Q13442814","Q57582079","10.1111/1752-1688.12735","Modeling connectivity of non‐floodplain wetlands: Insights, approaches, and recommendations"
"Modeling contaminant intrusion in water distribution networks based on D numbers","Q13442814","Rehan Sadiq","10.1016/j.eswa.2010.07.004","Modeling contaminant intrusion in water distribution networks based on D numbers"
"Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions","Q13442814","Rehan Sadiq","10.1007/s10098-013-0677-4","Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions"
"Modeling failure risk in buried pipes using fuzzy Markov deterioration process","Q13442814","Rehan Sadiq","10.1061/40745(146)7","Modeling failure risk in buried pipes using fuzzy Markov deterioration process"
"Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden","Q13442814","Valentina Radić","10.1029/2005jf000440","Modeling future glacier mass balance and volume changes using ERA‐40 reanalysis and climate models: A sensitivity study at Storglaciären, Sweden"
"Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software","Q13442814","Rehan Sadiq","10.1016/b978-0-12-820644-7.00022-0","Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software"
"Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula","Q13442814","Valentina Radić","10.1002/2015jf003667","Modeling ice dynamic contributions to sea level rise from the Antarctic Peninsula"
"Modeling of annular reactors with surface reaction using computational fluid dynamics (CFD)","Q13442814","Madjid Mohseni","10.1016/j.ces.2009.09.075","Modeling of annular reactors with surface reaction using computational fluid dynamics (CFD)"
"Modeling of heterotrophic bacteria in a water distribution system","Q13442814","Rehan Sadiq","10.1016/j.watres.2008.11.030","Modeling of heterotrophic bacteria in a water distribution system"
"Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system","Q13442814","Rehan Sadiq","10.1061/40745(146)73","Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system"
"Modeling temporal trends in bedload transport in gravel-bed streams using hierarchical mixed-effects models","Q13442814","Marwan Hassan","10.1016/j.geomorph.2014.05.019","Modeling temporal trends in bedload transport in gravel-bed streams using hierarchical mixed-effects models"
"Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000390","Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation"
"Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to","Q13442814","Rehan Sadiq","10.2166/aqua.2006.074","Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to"
"Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes","Q13442814","Pierre Bérubé","10.2166/ws.2007.139","Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes"
"Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Q13442814","Q56794616","10.1093/beheco/ars171","Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts"
"Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Q13442814","Mark Johnson","10.1111/j.1365-2486.2010.02298.x","Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year"
"Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Q13442814","Q56794616","10.1016/j.limno.2019.125714","Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts"
"Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia","Q13442814","Marwan Hassan","10.1002/hyp.9989","Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia"
"Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Q13442814","Q56794616","10.1016/j.ecolmodel.2004.08.022","Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada"
"Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada","Q13442814","Marwan Hassan","10.1002/hyp.13321","Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada"
"Modelling the potential for water quality failures in distribution networks: framework (I)","Q13442814","Rehan Sadiq","10.2166/aqua.2010.059","Modelling the potential for water quality failures in distribution networks: framework (I)"
"Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Q13442814","Rehan Sadiq","10.1007/s10661-015-4969-5","Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water"
"Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Q13442814","Q56794616","10.1007/s00027-017-0543-2","Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream"
"Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.geoforum.2008.03.002","Modernizing the nation: Postcolonialism, postdevelopmentalism, and ambivalent spaces of difference in southeastern Turkey"
"Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Q13442814","Mark Johnson","10.1590/s0100-06832013000300009","Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte"
"Monitoring the dynamics of syntrophic β-oxidizing bacteria during anaerobic degradation of oleic acid by quantitative PCR","Q13442814","Q88314953","10.1093/femsec/fiv028","Monitoring the dynamics of syntrophic β-oxidizing bacteria during anaerobic degradation of oleic acid by quantitative PCR"
"Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments","Q13442814","Marwan Hassan","10.1029/2017jf004533","Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments"
"Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history","Q13442814","Marwan Hassan","10.1016/j.geomorph.2020.107043","Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history"
"Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution","Q13442814","Valentina Radić","10.1029/2008gl037020","Mountain glaciers and ice caps around Antarctica make a large sea‐level rise contribution"
"Movement behaviour of adult western toads in a fragmented, forest landscape","Q13442814","Q56794616","10.1139/z09-109","Movement behaviour of adult western toads in a fragmented, forest landscape"
"Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Q13442814","Q56794616","10.1139/x05-042","Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands"
"Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Q13442814","Rehan Sadiq","10.1016/j.eswa.2014.11.014","Multi-level information fusion for spatiotemporal monitoring in water distribution networks"
"Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2021.107260","Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty"
"Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.09.178","Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation"
"Multicriteria information fusion using a fuzzy evidential rule-based framework","Q13442814","Rehan Sadiq","10.1109/icsmc.2012.6378014","Multicriteria information fusion using a fuzzy evidential rule-based framework"
"Multilevel performance management framework for small to medium sized water utilities in Canada","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0227","Multilevel performance management framework for small to medium sized water utilities in Canada"
"Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2007.10.002","Multimedia fate of oil spills in a marine environment—An integrated modelling approach"
"Multiple model predictive control on a drainage canal system","Q13442814","Steven Weijs","10.1016/j.conengprac.2007.06.002","Multiple model predictive control on a drainage canal system"
"Multiple ontologies of water: Politics, conflict and implications for governance","Q13442814","Leila M. Harris","10.1177/0263775817700395","Multiple ontologies of water: Politics, conflict and implications for governance"
"Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Q13442814","Rehan Sadiq","10.1016/j.wasman.2014.09.010","Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review"
"Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Q13442814","Pierre Bérubé","10.3390/membranes7030034","Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance"
"Nanofluidic transport governed by the liquid/vapour interface","Q13442814","Jongho Lee","10.1038/nnano.2014.28","Nanofluidic transport governed by the liquid/vapour interface"
"Nanostructured materials for water desalination","Q13442814","Jongho Lee","10.1201/9781315279657-15","Nanostructured materials for water desalination"
"Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Q13442814","Q56794616","10.1899/11-030.1","Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales"
"Naturally produced adsorbable organic halogens (AOX) in humic substances from soil and water","Q13442814","Gunilla Öberg","10.1016/0048-9697(89)90130-7","Naturally produced adsorbable organic halogens (AOX) in humic substances from soil and water"
"Navigating Uncertain","Q13442814","Leila M. Harris","10.1038/nn.3174","Navigating Uncertain"
"Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge","Q13442814","Gunilla Öberg","10.1080/09500693.2018.1548044","Navigating the divide between scientific practice and science studies to support undergraduate teaching of epistemic knowledge"
"Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada","Q13442814","Leila M. Harris","10.1016/j.geoforum.2016.04.005","Navigating the tensions in collaborative watershed governance: Water governance and Indigenous communities in British Columbia, Canada"
"Negotiated resilience","Q13442814","Leila M. Harris","10.1080/21693293.2017.1353196","Negotiated resilience"
"Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins","Q13442814","Leila M. Harris","10.1016/j.polgeo.2010.02.012","Negotiating hydro-scales, forging states: Comparison of the upper Tigris/Euphrates and Jordan River basins"
"Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Q13442814","Leila M. Harris","10.1080/13621025.2011.600095","Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey"
"Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Q13442814","Leila M. Harris","10.1057/9781137293688.0008","Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey"
"Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations","Q13442814","Natalie Prystajecky","10.1093/nar/gkx702","Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations"
"Net change in organically bound halogens in relation to soil pH","Q13442814","Gunilla Öberg","10.1007/bf00171641","Net change in organically bound halogens in relation to soil pH"
"Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Q13442814","Mark Johnson","10.1029/2019jg005123","Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes"
"Networked fuzzy belief rule-based system for spatiotemporal monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608519","Networked fuzzy belief rule-based system for spatiotemporal monitoring"
"Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products","Q13442814","Nicolas Peleato","10.1016/j.watres.2018.02.052","Neural networks for dimensionality reduction of fluorescence spectra and prediction of drinking water disinfection by-products"
"New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v2","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters"
"New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v1","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters"
"New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","Q13442814","Q56794616","10.1371/journal.pone.0014333","New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)"
